DrawDate,WB1,WB2,WB3,WB4,WB5,PowerBall,Multiplier
04/06/2026,7,24,37,42,57,5,2
04/04/2026,3,6,13,41,65,1,4
04/01/2026,4,10,11,52,64,24,3
03/30/2026,7,11,31,41,57,20,2
03/28/2026,11,42,43,59,61,25,4
03/25/2026,7,21,55,56,64,26,4
03/23/2026,12,18,47,56,63,1,10
03/21/2026,12,28,36,41,59,2,2
03/18/2026,14,18,19,21,69,1,3
03/16/2026,7,10,20,47,52,20,2
03/14/2026,9,30,42,50,52,21,3
03/11/2026,3,6,55,58,63,12,2
03/09/2026,22,23,28,36,54,13,3
03/07/2026,17,18,30,50,68,24,3
03/04/2026,7,14,42,47,56,6,4
03/02/2026,2,17,18,38,62,20,2
02/28/2026,6,20,35,54,65,10,4
02/25/2026,50,52,54,56,64,23,2
02/23/2026,5,11,23,29,47,6,2
02/21/2026,27,28,36,48,49,21,4
02/18/2026,9,33,52,64,66,1,2
02/16/2026,16,18,19,56,58,6,3
02/14/2026,23,43,58,60,64,24,2
02/11/2026,6,20,33,40,48,5,2
02/09/2026,6,19,22,28,48,24,5
02/07/2026,25,36,42,51,58,6,2
02/04/2026,27,29,30,37,58,15,2
02/02/2026,3,8,31,60,65,4,2
01/31/2026,2,8,14,40,63,23,3
01/28/2026,21,35,40,46,68,11,10
01/26/2026,21,31,51,60,63,18,2
01/24/2026,2,16,35,61,63,5,3
01/21/2026,11,26,27,53,55,12,2
01/19/2026,5,28,34,37,55,17,3
01/17/2026,5,8,27,49,57,14,4
01/14/2026,6,24,39,43,51,2,2
01/12/2026,5,27,45,56,59,4,2
01/10/2026,5,19,21,28,64,14,3
01/07/2026,15,28,57,58,63,23,2
01/05/2026,4,18,24,51,56,14,2
01/03/2026,18,21,40,53,60,23,3
